label,b,se,n,cells
No controls,0.021007758228081493,0.07530574324668737,3329,1
Firm,0.14707459465642805,0.023218624139221846,3329,30
Firm x family,0.09445413825024436,0.013491779243352844,3306,198
Firm x family x seniority,0.07821517956756313,0.017611375956281258,3154,357
+ skills from the text,0.07423818257731261,0.017739515092465467,3154,357
Firm x exact job title,0.01712347463863861,0.011793416306552389,42,12
